timestamp_ms,qp_id,bytes,start_ns,last_ns,last_bps,below_ns_accum
1763637691385,1288,3767164,86842142927751,86842224603852,350697684,100068520
1763637691385,1301,1963866,86842185348489,86842227897258,335285677,100086358
1763637691385,1276,4295648,86842112092846,86842206240454,367665399,100044296
1763637691385,1269,238874,86842203350764,86842207324128,361958782,0
1763637691385,1296,3987004,86842118315206,86842205810268,367253717,100018183
1763637691385,1277,4151944,86842123622908,86842223085113,317573069,0
1763637691385,1306,2386698,86842170132809,86842223466396,338426610,100003702
1763637691385,1253,2456452,86842167442988,86842222624153,338166518,100099369
1763637691385,1274,2606506,86842169576946,86842228327706,321642147,100021779
1763637691385,1287,1179612,86842205852601,86842227962175,318690685,100022350
1763637691385,1246,3716412,86842125722410,86842207295423,363903879,100056529
1763637691385,1314,7599870,87111245290051,87111318686661,721140075,0
1763637691385,1249,1128876,86842206442166,86842227707654,317647619,100016029
1763637691385,1309,444,87111528268210,87111528622207,11186,0
1763637691385,1324,6788046,87111251552201,87111318586794,706967807,0
1763637691385,1282,3669888,86842139587635,86842219459387,351400739,100066959
1763637691385,1,5152,87111554585319,87111563349787,29640,0
1763637691385,1299,792742,86842208983596,86842224641801,332372424,100022082
1763637691385,1280,3621274,86842125585879,86842205276294,367436132,100029128
1763637691385,1285,3629714,86842143979710,86842222470056,352942440,100044899
1763637691385,1317,1253594,87111313317562,87111318754369,722222741,0
1763637691385,1250,3915128,86842119038524,86842204798389,367071052,100082841
1763637691385,1283,3682588,86842125321072,86842206224924,367448815,100011163
1763637691385,1292,4234398,86842124768805,86842223872785,317002039,0
1763637691385,1254,21140,86842204728406,86842205207714,366288042,0
1763637691385,1248,215628,86842212106198,86842216711291,356935822,0
1763637691385,1286,3612802,86842140243143,86842222198708,331878836,100075365
1763637691385,1251,2790480,86842147013670,86842207402131,364742487,100002186
1763637691385,1304,4027162,86842118491948,86842206973042,367338544,100000113
1763637691385,1316,12927102,87111229200279,87111313191319,1202506474,0
1763637691385,1302,2509310,86842170176873,86842227393631,318876229,100011997
1763637691385,1279,3228038,86842152729275,86842227319043,316727035,100081162
1763637691385,1310,21207648,87111223226501,87111312858418,1890767969,0
1763637691385,1315,3109686,87111293091286,87111318709255,718425566,0
1763637691385,1305,4333700,86842125431281,86842220145225,351103739,100091841
1763637691385,1244,444,86842406303063,86842406746409,5285,0
1763637691385,1308,2557940,86842168794549,86842227360134,319305964,100030089
1763637691385,1260,3291506,86842149040917,86842219573801,351267353,100207946
1763637691385,1266,3103368,86842155094595,86842226056075,313005552,100088216
1763637691385,1271,2257752,86842158053573,86842207400802,365889344,100024137
1763637691385,1293,3517696,86842129514522,86842206888875,367485268,100002122
1763637691385,1289,4151896,86842128793601,86842219350978,351404655,100010971
1763637691385,1290,3621274,86842126050464,86842206356867,363912094,100007587
